,0
1,7.005280392836862e-05
2,5.813739115832359e-05
3,6.923651368620403e-05
4,7.012859563642403e-05
5,5.2440899697507826e-05
6,8.717818704922196e-05
7,5.649259953877404e-05
8,4.9097787998471014e-05
9,8.00713338982628e-05
10,5.830141498481269e-05
11,6.177328263072027e-05
12,7.613829777266374e-05
13,7.615911999259443e-05
14,6.638079106668702e-05
15,6.251983832301377e-05
16,6.437142871353331e-05
17,7.419347518304672e-05
18,7.152529186563811e-05
19,6.854817238929667e-05
20,6.285457093515139e-05
21,7.58145851107249e-05
22,7.020246710091115e-05
23,0.0001061696670024994
24,6.724725382280895e-05
25,6.788651149709097e-05
26,8.281464358821835e-05
27,6.0755816848343635e-05
28,6.738217645198583e-05
29,7.01657461487793e-05
30,6.390359786997137e-05
31,6.351270252964296e-05
32,5.7234933742372947e-05
33,6.320570428772718e-05
34,6.40131860979034e-05
35,4.900281385150314e-05
36,5.933960249680006e-05
37,7.312928534260817e-05
38,7.671179083851373e-05
39,6.753735799892403e-05
40,4.6709472074032307e-05
41,5.831101694204532e-05
42,6.802169635759262e-05
43,6.935878746824999e-05
44,6.275097571499347e-05
45,6.25136938044384e-05
46,6.80992667765884e-05
47,6.203479500060617e-05
48,6.106845015706247e-05
49,5.9660027984440463e-05
50,6.357013441975526e-05
51,5.2140745350206e-05
52,6.36614525592962e-05
53,6.16347248540201e-05
54,6.709161882371536e-05
55,5.656896795562535e-05
56,6.28693282658089e-05
57,6.070302087182129e-05
58,5.954343500293821e-05
59,6.834617067699035e-05
60,5.989423404360233e-05
61,7.411288169418467e-05
62,7.54627709637873e-05
63,8.973930892370873e-05
64,7.263704088373244e-05
65,6.414124941783738e-05
66,6.111605171695253e-05
67,7.430503308077719e-05
68,7.543564490648439e-05
69,5.6651486715537275e-05
70,7.371882683836273e-05
71,8.510706647418253e-05
72,9.932145464009549e-05
73,7.649281954814282e-05
74,7.107253103448899e-05
75,7.5360807436e-05
76,7.941820450626148e-05
77,5.863008846640536e-05
78,5.9487669303406834e-05
79,8.495630854734854e-05
80,7.924858100074334e-05
81,7.508556275748645e-05
82,8.514116207919818e-05
83,6.99663724015309e-05
84,6.474083241549039e-05
85,6.949636687926673e-05
86,6.387328765335109e-05
87,6.037932651709633e-05
88,6.193785431142417e-05
89,7.270553749054712e-05
90,6.021174398235403e-05
91,7.31138488339046e-05
92,8.228955240833e-05
93,6.759363613553303e-05
94,5.223972101959433e-05
95,5.9000862751202115e-05
96,6.150037992344115e-05
97,5.55933197264942e-05
98,6.645702886814403e-05
99,6.38885564175459e-05
100,6.0814086424207266e-05
101,5.475702993361268e-05
102,6.179701635484957e-05
103,7.637898462309632e-05
104,6.290648796900462e-05
105,6.83683725233921e-05
106,5.033739202522725e-05
107,5.853899691715439e-05
108,6.0454645789432374e-05
109,6.162267461558518e-05
110,7.758012418457102e-05
111,6.854283380522583e-05
112,6.302091727048392e-05
113,7.744233466215555e-05
114,7.481710232572027e-05
115,5.962390592113153e-05
116,7.576012330168545e-05
117,7.611995192019911e-05
118,6.870076873167692e-05
119,7.478518540391478e-05
120,7.751732760171813e-05
121,6.385132460188585e-05
122,7.335815378363527e-05
123,7.51943613913016e-05
124,6.333403045392883e-05
125,5.635373455416336e-05
126,7.52813022140122e-05
127,6.202353469407744e-05
128,8.100261546308296e-05
129,7.52532398707898e-05
130,6.950315482238674e-05
131,5.448705972636527e-05
132,5.6146635922658906e-05
133,7.286285417297394e-05
134,5.919225381562908e-05
135,9.317008794421969e-05
136,4.5674727881625866e-05
137,5.2849533699568434e-05
138,6.39794008112635e-05
139,6.44180765978368e-05
140,8.112915594608982e-05
141,6.835716336206928e-05
142,6.770686781837817e-05
143,7.970859185524663e-05
144,6.20436449166762e-05
145,7.673150127902394e-05
146,8.344806138840882e-05
147,7.026635493796856e-05
148,8.010411449372619e-05
149,9.069725828704993e-05
150,8.475323194664999e-05
151,7.86564009937115e-05
152,9.812236648012798e-05
153,6.323344581054188e-05
154,6.583132932512647e-05
155,5.981075546337938e-05
156,5.8046882890600425e-05
157,6.539268685361607e-05
158,6.776438244071232e-05
159,7.131598437679694e-05
160,7.110978116335065e-05
161,6.667961761493678e-05
162,6.627190272335682e-05
163,6.186134294390126e-05
164,5.643642458606922e-05
165,7.867260289646537e-05
166,6.095978794157617e-05
167,7.025396212059124e-05
168,7.906799061290265e-05
169,4.872889412063139e-05
170,6.569198236097144e-05
171,6.574174046676347e-05
172,8.467801130504642e-05
173,6.69991768306392e-05
174,6.91011116901535e-05
175,5.919173005978188e-05
176,5.067091153876991e-05
177,5.361199956601663e-05
178,5.6644591126354485e-05
179,6.918637993174424e-05
180,8.534944622354097e-05
181,6.970249505212789e-05
182,7.584922242799792e-05
183,8.316045458915036e-05
184,8.338796662989781e-05
185,7.245852788206918e-05
186,6.820804648232e-05
187,6.83115997318258e-05
188,6.301404729908673e-05
189,6.928631181580977e-05
190,6.329626216800285e-05
191,5.8730384715281206e-05
192,6.951315931926024e-05
193,5.637603975691085e-05
194,5.622370623490291e-05
195,6.551091056940898e-05
196,6.229943129231892e-05
197,6.502070459644075e-05
198,5.1985622974878286e-05
199,5.8046413779144486e-05
200,6.635028364236963e-05
201,5.4262572934699286e-05
202,7.779344539414255e-05
203,4.8659440423243966e-05
204,5.9812902705134115e-05
205,5.551095517952387e-05
206,5.898853940791497e-05
207,5.7159294316907264e-05
208,5.9238222875378266e-05
209,5.4717941523080594e-05
210,5.9717961088216326e-05
211,5.435351297511439e-05
212,6.319906247652289e-05
213,5.971099747449119e-05
214,5.333382760987692e-05
215,7.768780612275387e-05
216,7.139747204154726e-05
217,6.106296592463973e-05
218,7.358577891764269e-05
219,7.044878444171036e-05
220,7.153294531105797e-05
221,8.741096431416535e-05
222,6.504247721441863e-05
