number,coef,roi_name
306,0.000106444,None
23,0.00010617,VentralAttn
72,9.93E-05,CinguloOperc
317,9.91E-05,CinguloOperc
152,9.81E-05,Default
290,9.66E-05,Default
135,9.32E-05,None
149,9.07E-05,FrontoParietal
278,9.00E-05,Default
63,8.97E-05,CinguloOperc
322,8.77E-05,Default
221,8.74E-05,VentralAttn
6,8.72E-05,Default
301,8.69E-05,None
286,8.64E-05,None
235,8.57E-05,CinguloOperc
180,8.53E-05,CinguloOperc
300,8.52E-05,None
82,8.51E-05,CinguloOperc
71,8.51E-05,CinguloOperc
79,8.50E-05,VentralAttn
150,8.48E-05,Default
172,8.47E-05,None
316,8.46E-05,Default
146,8.34E-05,Default
304,8.34E-05,None
184,8.34E-05,Default
314,8.32E-05,None
183,8.32E-05,Salience
234,8.29E-05,CinguloOperc
26,8.28E-05,Default
345,8.24E-05,THALAMUS_RIGHT
292,8.24E-05,None
92,8.23E-05,DorsalAttn
231,8.19E-05,VentralAttn
238,8.15E-05,CinguloOperc
285,8.11E-05,None
140,8.11E-05,Visual
128,8.10E-05,None
264,8.09E-05,Visual
328,8.08E-05,FrontoParietal
148,8.01E-05,FrontoParietal
9,8.01E-05,FrontoParietal
320,8.00E-05,FrontoParietal
143,7.97E-05,RetrosplenialTemporal
76,7.94E-05,CinguloOperc
80,7.92E-05,VentralAttn
168,7.91E-05,FrontoParietal
237,7.90E-05,VentralAttn
165,7.87E-05,Default
151,7.87E-05,Default
225,7.86E-05,Default
244,7.86E-05,Auditory
245,7.86E-05,CinguloOperc
255,7.78E-05,Visual
202,7.78E-05,SMhand
215,7.77E-05,SMhand
110,7.76E-05,DorsalAttn
120,7.75E-05,None
113,7.74E-05,DorsalAttn
145,7.67E-05,Default
38,7.67E-05,SMhand
73,7.65E-05,None
103,7.64E-05,CinguloOperc
13,7.62E-05,RetrosplenialTemporal
12,7.61E-05,CinguloParietal
117,7.61E-05,Default
254,7.60E-05,CinguloParietal
182,7.58E-05,FrontoParietal
242,7.58E-05,VentralAttn
