num,coef,roi
1,0.005815681,Default
2,0.004960795,SMhand
3,0.005663692,SMmouth
4,0.006510199,Default
5,0.005306361,Visual
6,0.006711611,Default
7,0.006033426,FrontoParietal
8,0.005607834,Visual
9,0.005667885,FrontoParietal
10,0.005557976,Auditory
11,0.006312846,None
12,0.005566335,CinguloParietal
13,0.005598181,RetrosplenialTemporal
14,0.005026315,RetrosplenialTemporal
15,0.006471953,Visual
16,0.005684736,Visual
17,0.005355036,Visual
18,0.005543145,None
19,0.005202289,None
20,0.005944777,Visual
21,0.005947091,CinguloOperc
22,0.00581793,CinguloOperc
23,0.005124948,VentralAttn
24,0.005484751,FrontoParietal
25,0.006819613,Default
26,0.005388526,Default
27,0.006306974,CinguloOperc
28,0.00609246,CinguloOperc
29,0.006273661,Salience
30,0.005263932,SMhand
31,0.006021912,SMhand
32,0.006062855,SMhand
33,0.006385927,SMhand
34,0.006084764,CinguloOperc
35,0.004737392,SMhand
36,0.005549037,SMhand
37,0.006557361,SMhand
38,0.006239385,SMhand
39,0.005421963,SMmouth
40,0.005897646,CinguloOperc
41,0.005323487,DorsalAttn
42,0.005012731,DorsalAttn
43,0.005587725,DorsalAttn
44,0.005132205,Default
45,0.006005108,SMhand
46,0.00518867,SMhand
47,0.00580255,SMhand
48,0.005630134,SMhand
49,0.004916033,DorsalAttn
50,0.005380249,SMhand
51,0.005470565,DorsalAttn
52,0.00542489,DorsalAttn
53,0.005654914,SMmouth
54,0.005218527,SMhand
55,0.006046145,DorsalAttn
56,0.005555134,SMhand
57,0.004805008,SMhand
58,0.00591243,SMhand
59,0.006770974,SMmouth
60,0.005992781,VentralAttn
61,0.005755636,VentralAttn
62,0.00598524,VentralAttn
63,0.006569003,CinguloOperc
64,0.005798689,Auditory
65,0.006278991,Auditory
66,0.006551306,Auditory
67,0.006439669,Auditory
68,0.006914674,Auditory
69,0.006460279,Auditory
70,0.005592737,Auditory
71,0.00624577,CinguloOperc
72,0.006527761,CinguloOperc
73,0.006017322,None
74,0.006554712,DorsalAttn
75,0.005249213,VentralAttn
76,0.00678204,CinguloOperc
77,0.005582518,Auditory
78,0.005614921,FrontoParietal
79,0.006712365,VentralAttn
80,0.006960511,VentralAttn
81,0.005951948,CinguloOperc
82,0.006644175,CinguloOperc
83,0.006391512,Salience
84,0.006122704,CinguloOperc
85,0.00601615,VentralAttn
86,0.006641663,VentralAttn
87,0.00436939,DorsalAttn
88,0.004683034,DorsalAttn
89,0.006207573,CinguloParietal
90,0.005871009,Visual
91,0.004967365,DorsalAttn
92,0.005429798,DorsalAttn
93,0.006429296,CinguloParietal
94,0.005274133,Default
95,0.004783952,DorsalAttn
96,0.005443572,FrontoParietal
97,0.00516647,Visual
98,0.005941523,Visual
99,0.006079259,Visual
100,0.005816852,DorsalAttn
101,0.005520204,CinguloOperc
102,0.005905478,Auditory
103,0.005758832,CinguloOperc
104,0.00571411,Auditory
105,0.00631505,CinguloOperc
106,0.00594675,DorsalAttn
107,0.00612433,DorsalAttn
108,0.005659387,FrontoParietal
109,0.00558533,FrontoParietal
110,0.006208304,DorsalAttn
111,0.005694506,CinguloOperc
112,0.006273558,CinguloOperc
113,0.007219628,DorsalAttn
114,0.005956439,Default
115,0.006157158,None
116,0.005396156,Default
117,0.005533424,Default
118,0.006056415,None
119,0.005408876,None
120,0.005908115,None
121,0.005072272,None
122,0.005152417,None
123,0.0066439,None
124,0.005070982,None
125,0.006011593,None
126,0.006438695,Default
127,0.006091182,Default
128,0.006443235,None
129,0.00621591,None
130,0.005914301,RetrosplenialTemporal
131,0.005246673,Visual
132,0.00568314,Visual
133,0.005632267,None
134,0.005902464,None
135,0.005693085,None
136,0.005285608,Visual
137,0.005239392,Visual
138,0.006590168,Visual
139,0.006552797,Visual
140,0.007009139,Visual
141,0.006315459,Visual
142,0.006823252,None
143,0.006132581,RetrosplenialTemporal
144,0.005692577,None
145,0.005532475,Default
146,0.006684825,Default
147,0.005678647,CinguloOperc
148,0.005696635,FrontoParietal
149,0.006277461,FrontoParietal
150,0.006241571,Default
151,0.005753997,Default
152,0.005504831,Default
153,0.005468435,CinguloOperc
154,0.006689801,Default
155,0.005642614,DorsalAttn
156,0.005193419,Default
157,0.005375652,Default
158,0.005685,VentralAttn
159,0.005692593,None
160,0.005662756,Auditory
161,0.005615188,VentralAttn
162,0.005284755,Default
163,0.005277855,SMhand
164,0.005407157,SMmouth
165,0.006648387,Default
166,0.005383671,Visual
167,0.005201303,FrontoParietal
168,0.006699234,FrontoParietal
169,0.005583812,Visual
170,0.005101957,FrontoParietal
171,0.006308707,Auditory
172,0.005980283,None
173,0.005449791,CinguloParietal
174,0.004877633,RetrosplenialTemporal
175,0.006270334,Visual
176,0.005744,Visual
177,0.005486233,Visual
178,0.00448866,None
179,0.005925853,None
180,0.005606915,CinguloOperc
181,0.005955852,CinguloOperc
182,0.005319603,FrontoParietal
183,0.005175242,Salience
184,0.005500632,Default
185,0.005851614,CinguloOperc
186,0.005916369,Default
187,0.00532636,CinguloOperc
188,0.00580225,CinguloOperc
189,0.004779204,DorsalAttn
190,0.005412234,SMhand
191,0.005559631,SMhand
192,0.005958604,CinguloOperc
193,0.005254222,SMhand
194,0.005771901,SMhand
195,0.006393897,SMhand
196,0.005499321,CinguloOperc
197,0.005591821,SMmouth
198,0.006258362,CinguloOperc
199,0.005160176,DorsalAttn
200,0.006239581,Default
201,0.006258309,SMhand
202,0.00561414,SMhand
203,0.004958489,DorsalAttn
204,0.00538009,SMhand
205,0.005806845,SMhand
206,0.005815549,SMhand
207,0.005473141,SMhand
208,0.005841929,DorsalAttn
209,0.005273881,SMhand
210,0.005833254,SMhand
211,0.004710112,DorsalAttn
212,0.005248366,SMmouth
213,0.005353043,SMhand
214,0.004868058,SMhand
215,0.006063155,SMhand
216,0.006379913,SMhand
217,0.006051385,SMhand
218,0.007005477,SMmouth
219,0.006235881,CinguloOperc
220,0.00605388,Default
221,0.005865336,VentralAttn
222,0.005839964,VentralAttn
223,0.005303877,CinguloOperc
224,0.006006042,Auditory
225,0.006201807,Default
226,0.007203603,VentralAttn
227,0.006378321,Auditory
228,0.005752826,VentralAttn
229,0.005843033,VentralAttn
230,0.005658068,Auditory
231,0.005650758,VentralAttn
232,0.0058134,Auditory
233,0.006310939,Auditory
234,0.005754183,CinguloOperc
235,0.005666458,CinguloOperc
236,0.006120328,DorsalAttn
237,0.005668003,VentralAttn
238,0.006565543,CinguloOperc
239,0.005910721,Auditory
240,0.005504894,FrontoParietal
241,0.007515363,VentralAttn
242,0.006309604,VentralAttn
243,0.007311384,VentralAttn
244,0.006789137,Auditory
245,0.005846325,CinguloOperc
246,0.006085277,CinguloOperc
247,0.006114407,Salience
248,0.00522486,CinguloOperc
249,0.006075706,CinguloOperc
250,0.007244605,DorsalAttn
251,0.004639827,Visual
252,0.004452495,DorsalAttn
253,0.005224684,DorsalAttn
254,0.005335024,CinguloParietal
255,0.004969485,Visual
256,0.005456516,Visual
257,0.004842606,Default
258,0.004997383,Visual
259,0.005351217,Default
260,0.005188504,FrontoParietal
261,0.005273551,FrontoParietal
262,0.005230497,DorsalAttn
263,0.005467799,Visual
264,0.00608896,Visual
265,0.005445005,Visual
266,0.005175054,DorsalAttn
267,0.005713361,Visual
268,0.005469511,Auditory
269,0.00678271,Auditory
270,0.005118751,SMhand
271,0.005731479,DorsalAttn
272,0.006120341,FrontoParietal
273,0.005524145,FrontoParietal
274,0.006237792,CinguloOperc
275,0.006148644,DorsalAttn
276,0.005316978,FrontoParietal
277,0.00623163,FrontoParietal
278,0.005375821,Default
279,0.005597455,Default
280,0.005603183,None
281,0.006263972,None
282,0.00611791,None
283,0.00588899,None
284,0.005505656,None
285,0.006333236,None
286,0.006469416,None
287,0.006563028,None
288,0.005873755,None
289,0.005318622,None
290,0.005008306,Default
291,0.006049557,None
292,0.005924729,None
293,0.005265441,Visual
294,0.005621763,RetrosplenialTemporal
295,0.005777049,RetrosplenialTemporal
296,0.005041784,None
297,0.00672025,None
298,0.006314141,Visual
299,0.005706283,Visual
300,0.005852348,None
301,0.006566898,None
302,0.005228732,None
303,0.006023523,None
304,0.005127796,None
305,0.005780676,None
306,0.005262931,None
307,0.006020387,Visual
308,0.006507724,Visual
309,0.006351308,Visual
310,0.006259411,Visual
311,0.005489832,Visual
312,0.005843411,None
313,0.007161756,RetrosplenialTemporal
314,0.006098524,None
315,0.005645171,Default
316,0.007599455,Default
317,0.007334853,CinguloOperc
318,0.00620037,CinguloOperc
319,0.007246297,FrontoParietal
320,0.005990836,FrontoParietal
321,0.007248748,Default
322,0.005689275,Default
323,0.005624966,Default
324,0.006123185,Default
325,0.006425067,Default
326,0.006053816,Default
327,0.006197695,FrontoParietal
328,0.005137775,FrontoParietal
329,0.005296401,Auditory
330,0.006237071,Auditory
331,0.006300108,Default
332,0.005785302,VentralAttn
333,0.006233524,VentralAttn
334,0.005536935,CEREBELLUM_LEFT
335,0.005874979,THALAMUS_LEFT
336,0.006272192,CAUDATE_LEFT
337,0.005703433,PUTAMEN_LEFT
338,0.005743441,PALLIDUM_LEFT
339,0.007056015,BRAIN_STEM
340,0.0062039,HIPPOCAMPUS_LEFT
341,0.007045796,AMYGDALA_LEFT
342,0.006317231,ACCUMBENS_LEFT
343,0.006858073,DIENCEPHALON_VENTRAL_LEFT
344,0.005950545,CEREBELLUM_RIGHT
345,0.00639498,THALAMUS_RIGHT
346,0.006232768,CAUDATE_RIGHT
347,0.006159713,PUTAMEN_RIGHT
348,0.004972865,PALLIDUM_RIGHT
349,0.005681472,HIPPOCAMPUS_RIGHT
350,0.006644933,AMYGDALA_RIGHT
351,0.005905495,ACCUMBENS_RIGHT
352,0.006426378,DIENCEPHALON_VENTRAL_RIGHT
