num,coef,roi
316,0.007599455,Default
241,0.007515363,VentralAttn
317,0.007334853,CinguloOperc
243,0.007311384,VentralAttn
321,0.007248748,Default
319,0.007246297,FrontoParietal
250,0.007244605,DorsalAttn
113,0.007219628,DorsalAttn
226,0.007203603,VentralAttn
313,0.007161756,RetrosplenialTemporal
339,0.007056015,BRAIN_STEM
341,0.007045796,AMYGDALA_LEFT
140,0.007009139,Visual
218,0.007005477,SMmouth
80,0.006960511,VentralAttn
68,0.006914674,Auditory
343,0.006858073,DIENCEPHALON_VENTRAL_LEFT
142,0.006823252,None
25,0.006819613,Default
244,0.006789137,Auditory
269,0.00678271,Auditory
76,0.00678204,CinguloOperc
59,0.006770974,SMmouth
297,0.00672025,None
79,0.006712365,VentralAttn
6,0.006711611,Default
168,0.006699234,FrontoParietal
154,0.006689801,Default
146,0.006684825,Default
165,0.006648387,Default
350,0.006644933,AMYGDALA_RIGHT
82,0.006644175,CinguloOperc
123,0.0066439,None
86,0.006641663,VentralAttn
138,0.006590168,Visual
63,0.006569003,CinguloOperc
301,0.006566898,None
238,0.006565543,CinguloOperc
287,0.006563028,None
37,0.006557361,SMhand
74,0.006554712,DorsalAttn
139,0.006552797,Visual
66,0.006551306,Auditory
72,0.006527761,CinguloOperc
4,0.006510199,Default
308,0.006507724,Visual
15,0.006471953,Visual
286,0.006469416,None
69,0.006460279,Auditory
128,0.006443235,None
67,0.006439669,Auditory
126,0.006438695,Default
93,0.006429296,CinguloParietal
352,0.006426378,DIENCEPHALON_VENTRAL_RIGHT
325,0.006425067,Default
345,0.00639498,THALAMUS_RIGHT
195,0.006393897,SMhand
83,0.006391512,Salience
33,0.006385927,SMhand
216,0.006379913,SMhand
227,0.006378321,Auditory
309,0.006351308,Visual
285,0.006333236,None
342,0.006317231,ACCUMBENS_LEFT
141,0.006315459,Visual
105,0.00631505,CinguloOperc
298,0.006314141,Visual
11,0.006312846,None
233,0.006310939,Auditory
242,0.006309604,VentralAttn
