number,coef,roi_name
12,0.000150727,CinguloParietal
227,0.000147169,Auditory
173,0.000145513,CinguloParietal
57,0.000132543,SMhand
68,0.000131821,Auditory
66,0.000128615,Auditory
189,0.000122836,DorsalAttn
140,0.000122297,Visual
38,0.00012221,SMhand
91,0.00012156,DorsalAttn
89,0.000120255,CinguloParietal
18,0.000118903,None
309,0.00011885,Visual
333,0.000117654,VentralAttn
324,0.000117159,Default
72,0.000116224,CinguloOperc
112,0.000114805,CinguloOperc
47,0.00011467,SMhand
270,0.000114583,SMhand
180,0.000114564,CinguloOperc
257,0.000113078,Default
99,0.000112385,Visual
141,0.00011132,Visual
203,0.000111231,DorsalAttn
206,0.000111137,SMhand
45,0.000110426,SMhand
120,0.000110358,None
174,0.000110336,RetrosplenialTemporal
215,0.000110041,SMhand
48,0.000109996,SMhand
49,0.000109515,DorsalAttn
321,0.000108209,Default
163,0.00010812,SMhand
207,0.000108021,SMhand
79,0.000108006,VentralAttn
155,0.000107334,DorsalAttn
263,0.000107111,Visual
344,0.000106984,CEREBELLUM_RIGHT
181,0.00010688,CinguloOperc
219,0.000106712,CinguloOperc
307,0.000106647,Visual
81,0.000106316,CinguloOperc
339,0.000106259,BRAIN_STEM
285,0.000106102,None
30,0.000105835,SMhand
277,0.000105567,FrontoParietal
101,0.00010504,CinguloOperc
208,0.000104959,DorsalAttn
149,0.000104857,FrontoParietal
193,0.000104586,SMhand
325,0.000104247,Default
272,0.000104206,FrontoParietal
111,0.000103936,CinguloOperc
55,0.000103553,DorsalAttn
281,0.000103524,None
103,0.000103486,CinguloOperc
338,0.000103441,PALLIDUM_LEFT
345,0.000103168,THALAMUS_RIGHT
226,0.000102984,VentralAttn
213,0.000102946,SMhand
51,0.000102945,DorsalAttn
34,0.000102763,CinguloOperc
44,0.000102711,Default
65,0.000102709,Auditory
41,0.000102476,DorsalAttn
37,0.000102452,SMhand
287,0.000102003,None
318,0.000101928,CinguloOperc
306,0.00010153,None
290,0.000101502,Default
