number,coef,roi_name
346,0.008157376,CAUDATE_RIGHT
175,0.007773989,Visual
336,0.007653247,CAUDATE_LEFT
345,0.00761775,THALAMUS_RIGHT
140,0.007504472,Visual
58,0.007196254,SMhand
87,0.007172635,DorsalAttn
262,0.007122459,DorsalAttn
181,0.007030253,CinguloOperc
335,0.006989372,THALAMUS_LEFT
307,0.006933685,Visual
104,0.006930057,Auditory
136,0.006894838,Visual
15,0.006794946,Visual
97,0.006757403,Visual
258,0.00674755,Visual
34,0.006711845,CinguloOperc
122,0.006704257,None
103,0.006674449,CinguloOperc
253,0.006662191,DorsalAttn
276,0.006660821,FrontoParietal
22,0.006656483,CinguloOperc
47,0.006639407,SMhand
261,0.006619065,FrontoParietal
198,0.006597374,CinguloOperc
38,0.006582809,SMhand
45,0.006580774,SMhand
306,0.00655137,None
166,0.00654115,Visual
42,0.006529966,DorsalAttn
88,0.006522433,DorsalAttn
263,0.006507614,Visual
196,0.006500581,CinguloOperc
201,0.006473478,SMhand
217,0.006463196,SMhand
76,0.006456463,CinguloOperc
27,0.006453046,CinguloOperc
56,0.006446215,SMhand
37,0.006443568,SMhand
206,0.006432809,SMhand
205,0.00642424,SMhand
188,0.00641138,CinguloOperc
337,0.006409677,PUTAMEN_LEFT
266,0.006409471,DorsalAttn
33,0.006400485,SMhand
193,0.006395962,SMhand
238,0.006392042,CinguloOperc
195,0.006383346,SMhand
98,0.006377435,Visual
106,0.00636722,DorsalAttn
5,0.006363778,Visual
273,0.006337121,FrontoParietal
139,0.006304468,Visual
28,0.006288287,CinguloOperc
40,0.006259227,CinguloOperc
74,0.00625846,DorsalAttn
95,0.006256683,DorsalAttn
309,0.006230553,Visual
232,0.006226449,Auditory
330,0.006226026,Auditory
43,0.006221055,DorsalAttn
305,0.006219691,None
252,0.006219107,DorsalAttn
211,0.00621438,DorsalAttn
52,0.006212608,DorsalAttn
10,0.006189357,Auditory
334,0.006188048,CEREBELLUM_LEFT
55,0.006187984,DorsalAttn
109,0.006186606,FrontoParietal
314,0.00618213,None
