,0
0,5.047028311318639e-05
1,-7.570279476253668e-05
2,-2.545259830268587e-05
3,-0.00010994216031044526
4,1.704488561687726e-05
5,0.00013660892123431296
6,3.6646714618527e-05
7,4.7594061408914e-05
8,-1.9891245641049066e-05
9,-5.5630565235795704e-05
10,3.465785266840287e-06
11,-7.66316354748773e-05
12,-6.861634976727612e-05
13,0.00010006458790093729
14,-5.241641866463255e-05
15,-7.945754214394953e-05
16,-1.9785517031149937e-05
17,2.6472055120915217e-05
18,-6.950719395708704e-05
19,-1.745949715128368e-05
20,-1.0089828934553998e-05
21,-0.0001630965305722965
22,0.00010814173784250936
23,-2.154926897218121e-05
24,-4.875929430488113e-05
25,4.790301206899093e-06
26,5.3052254705677725e-05
27,4.6813913422097685e-05
28,5.9185122422882985e-05
29,2.1099564130393226e-05
30,9.40749999847026e-06
31,2.9452512058204803e-05
32,-1.8609654604466086e-05
33,0.00010181160303000304
34,-1.198364663751492e-05
35,0.00011783803751424995
36,0.00013848558543673684
37,-5.328217068633153e-05
38,5.656825090071872e-06
39,1.1589996981488767e-05
40,-2.0562664206933754e-05
41,-0.00011333563351412552
42,7.143711574225851e-05
43,0.00022050668137161476
44,-3.3020956510221064e-05
45,0.0001139831787935149
46,0.00010494778699684417
47,-1.1550899919214136e-05
48,8.275464150642434e-05
49,3.0002460656475447e-05
50,0.00018191354874595353
51,-2.848769815118519e-05
52,0.00023338114450628764
53,9.695212135585966e-05
54,0.00014182147849258527
55,-2.8428344963130895e-05
56,0.00019038513263518962
57,0.00011585648435414906
58,0.00018703620569693414
59,0.00018218934341880113
60,-0.000144987623581175
61,3.0141820973624797e-06
62,-0.00017937065000562667
63,-0.00011102139543454486
64,9.241545156149336e-05
65,-3.096882953244266e-05
66,2.4859522001629093e-05
67,-0.0001173243761254337
68,-2.000553805870975e-06
69,-1.1052166757464925e-05
70,-4.23210065013283e-05
71,-9.620245411307382e-05
72,0.00023691306089686839
73,3.308684080096458e-05
74,3.84176704642598e-05
75,-0.00013072376200170318
76,7.034277161335677e-05
77,7.226220500107984e-05
78,-0.00014625002541853694
79,3.528693033233728e-05
80,-2.8620107310949413e-05
81,7.442754789084861e-05
82,3.84805004230902e-05
83,7.889794898190096e-06
84,-7.234325891075264e-05
85,6.5201349728472556e-06
86,3.688901353460004e-05
87,1.0809210659724114e-05
88,-6.876484323405064e-05
89,3.639093331348733e-06
90,0.00016976678777965007
91,6.059146418731717e-05
92,-4.7119789125694626e-05
93,-7.205279753722145e-05
94,0.000123855910306725
95,-0.00014236168419884686
96,-0.00016331303472417598
97,-4.506948930787248e-05
98,9.318759963948452e-05
99,-4.572439467698818e-05
100,0.00013162960139463534
101,-8.51551442376836e-06
102,-3.0942275069688486e-05
103,2.7069408672233588e-05
104,0.0001215827102387971
105,7.940238995647053e-05
106,0.00029564154820999186
107,0.0002712716130727836
108,0.0002585027174220509
109,-4.973502112186364e-06
110,-5.1362712002082476e-05
111,0.00010071173802194372
112,-6.516579907525799e-05
113,4.212453684135623e-05
114,-0.0002100509439102778
115,-0.00015077947621805845
116,-6.424877106740238e-05
117,0.00019793351585709707
118,0.00027059624479664764
119,0.0002516691781134527
120,0.00015049672056424585
121,1.1614502422575553e-05
122,-5.1681100181694356e-05
123,-0.00013358068851100752
124,-7.72386046028571e-05
125,-0.00010636926277955434
126,0.0001426797036060222
127,-7.027129880443976e-05
128,1.1597114314256351e-05
129,-0.00011130217708688904
130,-5.782947264736422e-05
131,8.920994806798133e-05
132,-6.83000372125044e-05
133,-4.93338597820815e-05
134,-4.040382406888221e-05
135,-1.4154928964527895e-05
136,0.00010584476715412271
137,-0.0001118502861129347
138,1.9833773501056417e-05
139,-5.147484935753519e-05
140,7.968084942956641e-05
141,-8.454925736491629e-05
142,-2.5123421177847132e-05
143,0.00011497716805034674
144,1.9954567261464654e-05
145,-1.8535755123103584e-05
146,-3.3240281586049e-05
147,-3.5152096281523734e-05
148,-4.334349975640849e-05
149,-9.897774864004454e-06
150,-4.5326496764204885e-05
151,2.6264810417559315e-05
152,6.176335653067044e-05
153,0.000260952173168667
154,-4.89437705523038e-05
155,0.00010031389058628255
156,9.799971601648233e-05
157,5.043254311592483e-05
158,5.2613888223691855e-05
159,-1.5171642707541234e-06
160,-0.00023192509637403528
161,0.00010318638184929925
162,-9.133607712800195e-05
163,-9.051193493622535e-05
164,-0.00012193092225620305
165,2.5385924512074703e-05
166,1.9312085077103122e-05
167,-5.760504372115569e-05
168,7.25552942329285e-05
169,9.424715957116411e-06
170,-0.00018906700942334967
171,4.0151283330459736e-05
172,-6.325840450105981e-05
173,3.381415467550068e-05
174,-5.28200035940726e-06
175,2.46971801909776e-05
176,9.688760356449783e-05
177,-0.00013393935437483928
178,7.072262374639495e-05
179,0.00014915182316462268
180,7.616453939854307e-05
181,3.5506403493643494e-05
182,-2.4735826371068186e-05
183,-6.630110738627809e-06
184,-0.00015663593160540116
185,7.549510250504108e-05
186,3.227129831148057e-05
187,6.954072049255002e-05
188,7.2182166288793984e-06
189,2.4444056423259716e-05
190,-3.721666933903085e-05
191,0.0001035758988236979
192,-0.00016856867250727954
193,-3.495980887344242e-05
194,-0.0001234315435380616
195,-0.00010379795916172705
196,-2.4944545124761896e-05
197,-0.00018732656078112203
198,-7.381321921877808e-05
199,-3.0779314744761346e-05
