num,coef,roi
283,0.000122001,None
64,0.000115537,Auditory
273,0.000112721,FrontoParietal
108,0.000110066,FrontoParietal
229,0.000107359,VentralAttn
163,0.000104829,SMhand
275,0.000103759,DorsalAttn
122,0.000103376,None
231,0.00010155,VentralAttn
52,0.000101206,DorsalAttn
272,0.000100944,FrontoParietal
330,0.000100859,Auditory
60,1.00E-04,VentralAttn
284,9.98E-05,None
121,9.75E-05,None
266,9.70E-05,DorsalAttn
32,9.60E-05,SMhand
69,9.50E-05,Auditory
80,9.44E-05,VentralAttn
326,9.44E-05,Default
120,9.43E-05,None
319,9.40E-05,FrontoParietal
232,9.39E-05,Auditory
236,9.34E-05,DorsalAttn
145,9.32E-05,Default
287,9.30E-05,None
23,9.29E-05,VentralAttn
155,9.29E-05,DorsalAttn
243,9.29E-05,VentralAttn
74,9.28E-05,DorsalAttn
88,9.26E-05,DorsalAttn
199,9.25E-05,DorsalAttn
119,9.23E-05,None
62,9.21E-05,VentralAttn
