num,coef,roi
283,0.000122001,None
64,0.000115537,Auditory
273,0.000112721,FrontoParietal
108,0.000110066,FrontoParietal
229,0.000107359,VentralAttn
163,0.000104829,SMhand
275,0.000103759,DorsalAttn
122,0.000103376,None
231,0.00010155,VentralAttn
52,0.000101206,DorsalAttn
272,0.000100944,FrontoParietal
330,0.000100859,Auditory
60,1.00E-04,VentralAttn
284,9.98E-05,None
121,9.75E-05,None
266,9.70E-05,DorsalAttn
32,9.60E-05,SMhand
69,9.50E-05,Auditory
80,9.44E-05,VentralAttn
326,9.44E-05,Default
120,9.43E-05,None
319,9.40E-05,FrontoParietal
232,9.39E-05,Auditory
236,9.34E-05,DorsalAttn
145,9.32E-05,Default
287,9.30E-05,None
23,9.29E-05,VentralAttn
155,9.29E-05,DorsalAttn
243,9.29E-05,VentralAttn
74,9.28E-05,DorsalAttn
88,9.26E-05,DorsalAttn
199,9.25E-05,DorsalAttn
119,9.23E-05,None
62,9.21E-05,VentralAttn
109,9.16E-05,FrontoParietal
154,9.12E-05,Default
324,9.10E-05,Default
110,9.08E-05,DorsalAttn
251,9.05E-05,Visual
55,9.04E-05,DorsalAttn
316,9.01E-05,Default
227,8.96E-05,Auditory
200,8.92E-05,Default
203,8.92E-05,DorsalAttn
325,8.92E-05,Default
17,8.90E-05,Visual
162,8.89E-05,Default
43,8.84E-05,DorsalAttn
106,8.84E-05,DorsalAttn
4,8.73E-05,Default
112,8.66E-05,CinguloOperc
49,8.60E-05,DorsalAttn
213,8.60E-05,SMhand
344,8.60E-05,CEREBELLUM_RIGHT
123,8.58E-05,None
12,8.52E-05,CinguloParietal
192,8.51E-05,CinguloOperc
233,8.51E-05,Auditory
250,8.50E-05,DorsalAttn
309,8.45E-05,Visual
254,8.43E-05,CinguloParietal
292,8.43E-05,None
51,8.41E-05,DorsalAttn
92,8.40E-05,DorsalAttn
45,8.39E-05,SMhand
66,8.32E-05,Auditory
204,8.32E-05,SMhand
124,8.31E-05,None
146,8.31E-05,Default
