num,coef,roi
141,0.008267558,Visual
309,0.008012663,Visual
326,0.007863211,Default
277,0.007766817,FrontoParietal
156,0.007717482,Default
287,0.007426336,None
126,0.007382137,Default
286,0.00731633,None
24,0.007311715,FrontoParietal
272,0.007296921,FrontoParietal
148,0.007266558,FrontoParietal
151,0.007258086,Default
9,0.007255339,FrontoParietal
201,0.007246346,SMhand
108,0.007214767,FrontoParietal
124,0.007214194,None
170,0.007154703,FrontoParietal
275,0.007127543,DorsalAttn
319,0.00712018,FrontoParietal
155,0.007108214,DorsalAttn
200,0.007083187,Default
301,0.007060949,None
273,0.00705752,FrontoParietal
291,0.006974224,None
123,0.006960668,None
195,0.006950374,SMhand
60,0.006937934,VentralAttn
78,0.006923325,FrontoParietal
97,0.006914603,Visual
191,0.006912705,SMhand
6,0.006885202,Default
293,0.006875236,Visual
26,0.006873738,Default
196,0.006870942,CinguloOperc
348,0.006862011,PALLIDUM_RIGHT
315,0.006842714,Default
321,0.006821904,Default
198,0.006817792,CinguloOperc
10,0.006816301,Auditory
285,0.006810026,None
88,0.006809412,DorsalAttn
74,0.006772711,DorsalAttn
140,0.00676693,Visual
284,0.006764113,None
32,0.006748914,SMhand
115,0.006727802,None
343,0.006722828,DIENCEPHALON_VENTRAL_LEFT
61,0.006697823,VentralAttn
280,0.006691512,None
298,0.006689224,Visual
117,0.006664803,Default
247,0.006643001,Salience
98,0.00664246,Visual
57,0.006629644,SMhand
95,0.006615083,DorsalAttn
316,0.006615069,Default
109,0.006603088,FrontoParietal
324,0.006602953,Default
169,0.006600911,Visual
216,0.006600286,SMhand
233,0.006599981,Auditory
336,0.006588497,CAUDATE_LEFT
142,0.006571446,None
68,0.006567765,Auditory
337,0.006557052,PUTAMEN_LEFT
308,0.006555001,Visual
289,0.006552708,None
327,0.006549671,FrontoParietal
122,0.006538238,None
