number,coef,roi_name
155,0.00017339,DorsalAttn
257,0.00015814,Default
333,0.0001494,VentralAttn
306,0.00014773,None
285,0.00014538,None
251,0.00014154,Visual
244,0.00014143,Auditory
331,0.00014137,Default
30,0.00013925,SMhand
212,0.00013859,SMmouth
280,0.00013805,None
294,0.00013638,RetrosplenialTemporal
245,0.00013566,CinguloOperc
124,0.00013558,None
173,0.00013275,CinguloParietal
110,0.00013267,DorsalAttn
7,0.00013246,FrontoParietal
41,0.00013217,DorsalAttn
265,0.00013066,Visual
291,0.00013064,None
169,0.00013061,Visual
113,0.00013041,DorsalAttn
207,0.00012983,SMhand
94,0.00012865,Default
121,0.00012856,None
63,0.00012825,CinguloOperc
96,0.00012803,FrontoParietal
12,0.00012744,CinguloParietal
148,0.00012617,FrontoParietal
179,0.00012611,None
21,0.00012602,CinguloOperc
66,0.00012585,Auditory
89,0.00012578,CinguloParietal
1,0.00012503,Default
9,0.00012488,FrontoParietal
258,0.00012465,Visual
254,0.00012454,CinguloParietal
77,0.00012451,Auditory
111,0.0001244,CinguloOperc
88,0.0001243,DorsalAttn
172,0.00012413,None
339,0.00012406,BRAIN_STEM
341,0.00012388,AMYGDALA_LEFT
342,0.00012384,ACCUMBENS_LEFT
348,0.00012351,PALLIDUM_RIGHT
337,0.00012351,PUTAMEN_LEFT
103,0.00012339,CinguloOperc
203,0.00012334,DorsalAttn
176,0.00012333,Visual
189,0.00012263,DorsalAttn
322,0.00012149,Default
154,0.00012132,Default
186,0.0001211,Default
145,0.00012094,Default
76,0.00012078,CinguloOperc
183,0.00012066,Salience
253,0.00012056,DorsalAttn
35,0.00012042,SMhand
53,0.00012042,SMmouth
232,0.00012039,Auditory
105,0.00011968,CinguloOperc
48,0.00011958,SMhand
92,0.0001195,DorsalAttn
177,0.00011936,Visual
13,0.00011913,RetrosplenialTemporal
239,0.00011892,Auditory
6,0.00011887,Default
120,0.00011875,None
65,0.00011861,Auditory
143,0.00011844,RetrosplenialTemporal
