number,coef,roi_name
162,0.008164508,Visual
91,0.008155954,SMhand
13,0.008100728,Visual
185,0.008027157,CAUDATE_RIGHT
20,0.007963279,CinguloOperc
12,0.007937449,None
10,0.007687349,DorsalAttn
26,0.007622723,SMhand
309,0.007608182,VentralAttn
294,0.007513128,RetrosplenialTemporal
14,0.007489355,VentralAttn
30,0.007471492,SMhand
189,0.007456789,RetrosplenialTemporal
293,0.007445899,Visual
311,0.007437746,CinguloOperc
1,0.007401455,CinguloParietal
177,0.007391476,SMmouth
8,0.007387499,Visual
176,0.007380548,Auditory
202,0.007348285,Visual
90,0.007322736,FrontoParietal
172,0.007254859,CinguloOperc
163,0.00718651,FrontoParietal
255,0.007178437,Visual
180,0.007175722,Salience
310,0.007172629,Default
174,0.00717039,Default
169,0.007140968,None
22,0.007097289,Visual
3,0.007095622,CinguloParietal
190,0.007085203,Auditory
204,0.007064309,SMhand
173,0.007058577,VentralAttn
17,0.007022078,CinguloOperc
254,0.007006888,PUTAMEN_LEFT
54,0.007006182,DorsalAttn
259,0.006996774,FrontoParietal
37,0.006992551,Visual
21,0.006986736,Default
298,0.006983929,VentralAttn
65,0.006941792,DorsalAttn
257,0.0069015,DorsalAttn
35,0.006869402,VentralAttn
44,0.006861634,None
131,0.006847412,SMmouth
153,0.006803182,Auditory
186,0.00680239,Auditory
193,0.006800619,CinguloOperc
2,0.006795303,Auditory
7,0.006793597,DorsalAttn
121,0.006791814,SMhand
267,0.006791476,None
210,0.006786697,Default
234,0.006760109,FrontoParietal
134,0.006725089,Auditory
76,0.006700531,SMhand
53,0.006687871,CinguloOperc
75,0.006677325,Visual
224,0.006664761,CinguloOperc
208,0.006605091,Visual
219,0.006595434,CinguloOperc
274,0.006583733,None
88,0.006563003,SMhand
200,0.006558928,SMmouth
223,0.006553055,Visual
101,0.006543892,SMhand
46,0.006512594,FrontoParietal
238,0.00650493,Auditory
124,0.006499828,None
313,0.006499437,None
