,0,1,2
/sub-HC001,-6.0,-8.0,-7.0
/sub-HC002,-12.0,-2.0,-7.0
/sub-HC003,-16.0,-10.0,-13.0
/sub-HC004,-6.0,-2.0,-4.0
/sub-HC005,2.0,-4.0,-1.0
/sub-HC006,-2.0,-6.0,-4.0
/sub-HC007,-10.0,-2.0,-6.0
/sub-HC008,-28.0,-16.0,-22.0
/sub-HC009,-12.0,-6.0,-9.0
/sub-HC010,-4.0,-2.0,-3.0
/sub-HC011,0.0,-8.0,-4.0
/sub-HC012,-12.0,-2.0,-7.0
/sub-HC013,0.0,-4.0,-2.0
/sub-HC014,-8.0,-22.0,-15.0
/sub-HC015,-12.0,-12.0,-12.0
/sub-HC016,-8.0,-10.0,-9.0
/sub-HC017,-14.0,-16.0,-15.0
/sub-HC018,-6.0,-12.0,-9.0
/sub-HC019,-6.0,-2.0,-4.0
/sub-HC020,-10.0,-10.0,-10.0
/sub-HC021,-8.0,-12.0,-10.0
/sub-HC022,-12.0,-4.0,-8.0
/sub-HC023,-12.0,-4.0,-8.0
/sub-HC024,-2.0,-6.0,-4.0
/sub-HC025,-14.0,-24.0,-19.0
/sub-HC026,-8.0,-14.0,-11.0
/sub-HC027,-4.0,0.0,-2.0
/sub-HC028,-14.0,-18.0,-16.0
/sub-HC029,-14.0,-14.0,-14.0
/sub-HC030,-4.0,-4.0,-4.0
/sub-HC031,-16.0,-16.0,-16.0
/sub-HC032,-10.0,-2.0,-6.0
/sub-HC033,0.0,-6.0,-3.0
/sub-HC034,-22.0,-26.0,-24.0
/sub-HC035,-10.0,-22.0,-16.0
/sub-HC036,-8.0,-14.0,-11.0
/sub-HC037,0.0,0.0,0.0
/sub-HC038,-2.0,-2.0,-2.0
/sub-HC039,-4.0,-4.0,-4.0
/sub-HC040,-6.0,0.0,-3.0
/sub-HC041,-14.0,-10.0,-12.0
/sub-HC042,-2.0,-8.0,-5.0
/sub-HC043,-10.0,-6.0,-8.0
/sub-HC044,-10.0,-16.0,-13.0
/sub-HC045,-4.0,0.0,-2.0
/sub-HC046,-12.0,0.0,-6.0
/sub-HC047,-18.0,-6.0,-12.0
/sub-HC048,-4.0,-4.0,-4.0
/sub-HC049,-4.0,-6.0,-5.0
/sub-HC050,-4.0,2.0,-1.0
/sub-HC051,-6.0,0.0,-3.0
/sub-HC052,-2.0,-2.0,-2.0
/sub-HC053,-6.0,-8.0,-7.0
/sub-HC054,-10.0,-8.0,-9.0
/sub-HC055,-12.0,-22.0,-17.0
/sub-HC056,-2.0,-10.0,-6.0
/sub-HC057,-12.0,-2.0,-7.0
/sub-HC058,-10.0,-12.0,-11.0
/sub-HC059,-4.0,-10.0,-7.0
/sub-HC060,2.0,-4.0,-1.0
/sub-HC061,-22.0,-14.0,-18.0
/sub-HC062,-8.0,-6.0,-7.0
/sub-HC063,-4.0,-4.0,-4.0
/sub-HC064,-6.0,-8.0,-7.0
/sub-HC065,-4.0,-6.0,-5.0
/sub-HC066,-14.0,-18.0,-16.0
/sub-HC067,0.0,-4.0,-2.0
/sub-HC068,-10.0,-8.0,-9.0
/sub-HC069,-4.0,-8.0,-6.0
/sub-HC070,-10.0,-4.0,-7.0
/sub-HC071,-28.0,-14.0,-21.0
/sub-HC072,-14.0,-12.0,-13.0
/sub-HC073,-12.0,-10.0,-11.0
/sub-HC074,-6.0,-8.0,-7.0
/sub-HC075,-20.0,-24.0,-22.0
/sub-HC076,-16.0,-20.0,-18.0
/sub-HC077,-8.0,-8.0,-8.0
/sub-HC078,-6.0,-4.0,-5.0
/sub-HC079,-6.0,-10.0,-8.0
/sub-HC080,-14.0,-16.0,-15.0
/sub-HC081,-8.0,0.0,-4.0
/sub-HC082,-8.0,-2.0,-5.0
/sub-HC083,-14.0,-8.0,-11.0
/sub-HC084,-4.0,-2.0,-3.0
/sub-HC085,-18.0,-4.0,-11.0
/sub-HC086,-18.0,-10.0,-14.0
/sub-HC087,-8.0,-8.0,-8.0
/sub-HC088,-2.0,-4.0,-3.0
/sub-HC089,-14.0,-4.0,-9.0
/sub-HC090,-4.0,-6.0,-5.0
/sub-HC091,-6.0,-6.0,-6.0
/sub-HC092,0.0,0.0,0.0
/sub-HC093,-16.0,-6.0,-11.0
/sub-HC094,-6.0,-6.0,-6.0
/sub-HC095,-14.0,-8.0,-11.0
/sub-HC096,0.0,2.0,1.0
/sub-HC097,-16.0,-4.0,-10.0
/sub-HC098,-8.0,-4.0,-6.0
/sub-HC099,-6.0,-4.0,-5.0
/sub-HC100,-6.0,-10.0,-8.0
/sub-HC101,2.0,-6.0,-2.0
/sub-HC102,-12.0,-8.0,-10.0
/sub-HC103,-8.0,-6.0,-7.0
/sub-HC104,-10.0,0.0,-5.0
/sub-HC105,-24.0,-22.0,-23.0
/sub-HC106,-8.0,-6.0,-7.0
/sub-HC107,-6.0,-10.0,-8.0
/sub-HC108,-18.0,-8.0,-13.0
/sub-HC109,-10.0,-6.0,-8.0
/sub-HC110,-12.0,-6.0,-9.0
/sub-HC111,-4.0,-2.0,-3.0
/sub-HC112,-14.0,-6.0,-10.0
/sub-HC113,-24.0,-14.0,-19.0
/sub-HC114,-16.0,-4.0,-10.0
