prediction,true
0.14781007,0.094
-0.36990085,-1.105
0.13015404,0.179
-0.48811075,0.867
-0.27295639,1.263
-0.28737255,-0.432
0.29276469,-1.148
0.50287119,0.921
-0.20989069,0.409
-0.18141213,-0.772
-0.02884602,0.555
-0.03263679,-0.965
-0.85888304,-1.186
0.04087492,-0.119
-0.302123,-0.893
-0.13471376,-0.244
0.18488502,0.757
-0.0907436,-1.253
0.09022924,0.083
0.24058108,2.7
0.02260849,0.482
0.06613544,-0.26
-0.35962656,0.981
0.03482887,-0.043
0.03984737,-1.253
-0.16850445,0.498
-0.50728178,0.359
0.43716325,0.935
-0.33191722,-0.351
-0.02850204,0.713
0.06195426,1.428
-0.4637607,-0.068
0.01139796,0.777
0.03732783,0.443
-0.67053605,-0.123
-0.18234344,-0.848
0.12480875,2.624
0.0979505,-0.48
0.0390163,0.838
0.50071461,-0.07
0.00337599,-0.003
0.04060098,0.836
-0.21301429,0.44
0.35539469,0.732
-0.45929492,1.35
0.5637319,0.388
-0.03573943,-1.253
-0.2074105,-0.693
0.28492848,1.005
-0.06286156,-0.702
-0.03339227,-1.253
-0.05933754,-0.785
-0.661411,-0.193
-0.09807583,-1.253
-0.31929763,0.067
-0.26673798,-0.041
-0.12579281,-0.896
-0.31795419,1.929
0.61188753,0.578
0.74493334,-0.538
0.61168665,-0.2
0.04276456,0.531
0.40548786,0.224
0.00329655,-0.158
-0.41445459,-0.275
-0.21981065,1.322
-0.17367454,-0.599
-0.00134891,1.387
-0.25304775,-0.258
0.22923222,-0.506
-0.18172396,-1.01
-0.23918575,-0.702
-0.1092131,-0.667
-0.54876444,0.585
0.30897523,1
-0.16593816,-0.211
-0.24521648,-0.91
0.06909149,-0.383
0.02040264,-0.757
-0.13769081,0.672
0.16188495,-0.714
-0.05751029,-1.253
-0.15483339,-1.253
0.54061531,-0.898
0.63023631,0.738
-0.33282566,-0.716
0.01042363,0.338
0.08991995,-0.803
0.01764679,-0.583
0.04385974,0.405
0.43754981,-0.566
-0.10601403,-0.394
0.12122068,-0.96
0.14029214,1.235
0.0456165,0.029
0.31713349,0.302
-0.74705514,-0.674
-0.71267119,0.167
-0.50433968,-0.965
-0.4977396,-0.599
-0.2857812,-0.151
-0.14044309,0.474
-0.44207798,-1.195
-0.05553398,0.054
-0.07191925,0.053
0.28208052,-0.126
0.08679761,-0.56
0.09383557,-0.303
0.6577885,1.042
0.0653562,-1.253
0.16596978,0.844
-0.31481637,-0.875
0.55693265,-0.628
-0.00238807,0.598
-0.02769219,0.655
-0.00490097,1.24
-0.03458516,2.752
-0.45685683,-0.596
-0.04086756,0.914
0.20079804,-1.148
0.19992213,0.245
-0.38697534,0.044
-0.16338676,0.428
-0.36767195,-0.267
-0.20360944,-0.279
-0.04683179,1.169
0.42954629,-0.015
-0.19948572,-0.213
-0.01320561,-0.374
-0.23209714,-0.103
-0.02855394,1.686
0.26591947,1.203
-0.46034772,0.143
-0.19821678,-0.837
-0.22600494,0.011
-0.2905827,-0.475
0.41023969,0.327
0.09058243,-1.253
0.1201035,0.185
0.05198543,0.325
-0.15224303,0.486
-0.23402881,0.715
0.19253113,-1.253
0.354025,0.923
0.0247419,0.449
-0.48375557,0.609
0.26159833,-0.401
0.16253206,0.569
-0.25796753,-0.55
0.02973083,0.389
-0.13070458,1.558
-0.75522805,-0.739
-0.28587169,-0.337
-0.19507936,-0.196
0.07523148,0.552
-0.06645056,-0.592
-0.28709139,-0.94
-0.50363463,-0.803
-0.11423013,-0.448
0.03176628,-0.981
-0.25363643,-0.137
0.18005923,0.083
-0.07568122,0.621
-0.42744201,0.696
-0.14136647,0.586
0.27993166,0.387
-0.28267076,0.342
0.49049501,0.007
-0.00911671,-1.253
0.0362779,-0.701
0.14030272,-1.253
0.2669363,0.197
-0.74583648,1.214
0.55130361,0.492
0.42964333,0.43
-0.50819121,0.595
0.10947072,-0.286
0.65232517,1.878
-0.61600483,-1.253
-0.30434397,-1.253
0.10415134,1.211
0.08160154,0.017
-0.6413333,-1.253
-0.24641161,-1.253
0.13396569,-0.574
-0.40495624,0.231
0.0629447,-0.552
0.3908506,0.686
0.06951066,-0.656
0.57947307,0.469
0.09478829,0.665
-0.27943432,-0.622
-0.18935345,0.552
-0.03367065,-1.253
-0.05038605,0.285
0.31598266,0.566
0.26408748,-0.238
0.13576853,-1.253
0.54340777,-0.266
0.7017616,1.688
0.44971683,0.169
-0.21240128,0.348
0.93262581,-1.143
0.34681161,-1.105
-0.06978036,1.033
-0.13972465,-0.022
0.08449295,-0.248
-0.18880552,1.481
0.42018886,0.057
-0.09661334,-0.381
0.1880626,-1.253
0.26178502,-1.253
-0.44105412,-0.022
-0.58524617,-0.802
0.12536392,-0.963
-0.00928143,-0.219
-0.0837245,0.557
-0.0630196,-0.104
-0.14030276,1.259
-0.0812002,1.818
-0.00429026,-0.248
0.42272593,-0.081
0.25793827,-0.542
-0.29944149,0.684
0.12708788,0.183
0.60852782,-1.143
0.31458674,-0.306
0.28725189,-1.253
0.44035009,0.013
-0.20815968,-0.627
-0.36535185,-0.549
0.05916728,-0.029
0.1258142,0.172
0.07451017,-0.775
0.30373588,0.79
0.31004441,0.83
0.08302458,0.477
-0.53196064,-0.475
-0.31410555,-0.196
-0.03928058,-0.376
-0.37066893,-1.053
-0.34484903,-1.053
-0.13859263,-1.143
0.09080885,-0.223
0.20078408,-0.326
0.06132069,-1.253
0.1585741,0.64
0.24997043,0.457
0.18429925,-0.951
0.02916165,-0.296
-0.02089773,-0.544
0.02698332,-1.036
0.34092132,-0.22
-0.12521131,-0.236
0.51742416,0.997
0.28869293,-0.607
-0.26406676,1.758
0.22755683,0.17
0.24100444,0.195
-0.08959232,0.201
-0.351255,0.17
0.08974024,0.5
-0.05453643,-0.773
0.60859033,2.198
0.01609577,0.882
0.14953325,-1.253
0.13151347,1.624
-0.10353532,-0.519
0.51374884,1.799
0.32536317,-0.046
0.37084892,0.221
0.3941923,0.621
0.48113464,1.816
0.30494966,0.13
-0.38271581,0.592
0.09169521,-0.357
-0.41418355,0.064
0.04282449,0.701
0.80373383,0.38
0.35086062,0.668
-0.17020443,-1.253
0.00241443,0.076
-0.19030388,0.926
0.05952623,-0.893
