prediction,true
-0.3258042,0.157
-0.428787,-0.498
0.43491428,-0.728
-0.18859551,-0.189
-0.36166398,-0.211
-0.52358464,-0.189
0.59867214,0.758
-0.24008638,-0.526
0.24601122,-1.088
-0.5335489,-0.312
-0.28984628,0.508
0.10303268,-0.047
-0.07502709,0.83
-0.44775265,-0.598
-0.12176208,0.036
-0.04054432,-0.122
-0.12993181,-0.724
0.14372303,0.147
-0.08549759,-0.434
0.09174477,-0.521
-0.59917326,-0.189
-0.08813769,0.122
-0.08691656,-0.376
-0.11296542,0.13
-0.01819669,0.302
-0.11544556,-0.499
-0.48890975,-0.445
0.00561215,0.725
0.19974242,-0.39
0.0111254,-0.81
-0.44439067,0.225
-0.37277016,0.337
-0.25488661,0.025
0.18011619,0.314
-0.95876147,-0.853
0.197798,0.787
0.12626188,-0.348
-0.09984398,-1.198
0.20252371,0.758
-0.38983556,-0.364
0.24915879,-0.025
-0.15253962,-0.735
-0.0412407,-0.01
0.22771507,-0.292
0.17808815,1.719
0.06291165,-0.354
-0.00370549,-0.536
-0.19172738,0.28
0.02867096,-0.433
-0.61487845,0.473
0.59952713,1.835
-0.40477783,0.151
0.11741389,0.169
0.43736102,1.237
-0.29457395,-0.635
0.26610366,0.428
-0.04563796,-0.189
-0.10129798,0.811
0.42445565,-0.485
0.1659842,-0.376
-0.19308829,0.419
0.34729482,1.013
-0.04924846,-1.097
0.38817754,0.5
0.27499867,1.911
-0.11718782,0.28
0.0618516,-1.017
0.21338354,1.151
-0.04317129,-1.118
0.06192455,1.319
0.19449031,-0.959
0.36574305,-0.945
-0.17028657,-0.189
0.04558204,1.386
0.14313415,-0.865
-0.88356273,-0.189
-0.40007564,0.148
-0.39703252,0.948
0.31872677,-0.861
-0.40927492,0.057
0.13678982,-0.695
-0.66808207,-0.841
-0.17113562,0.635
-0.33762653,0.894
-0.05372037,0.168
-0.34238136,-0.325
-0.34475993,0.345
-0.39802639,0.066
-0.22552873,0.83
-0.01459721,0.402
0.16819969,0.742
-0.06441942,0.507
-0.18302653,0.356
0.15848284,1.223
-0.07527673,-0.013
0.18435629,-1.024
-0.00048087,-0.719
0.20403195,-0.619
-0.09718256,0.612
-0.13085851,-0.813
0.33205616,0.423
-0.37316135,0.13
0.13121911,-0.475
0.07034503,-0.189
-0.01161595,0.645
0.15373563,-0.486
-0.04709363,-0.042
0.18798173,-0.076
0.17538031,-0.609
-0.3426067,-0.511
