prediction,true
-0.18778874,0.959
-0.14894687,-0.336
0.10150228,1.031
-0.0466069,-0.208
0.12039156,-0.232
-0.58365208,-0.208
0.25739886,0.242
-0.27128519,0.625
0.11260993,-0.497
0.21147468,-0.34
-0.24848396,0.309
0.60454777,1.143
0.47405635,-0.262
-0.23782155,-0.586
0.44665438,-0.684
0.1497044,0.284
0.44810211,1.212
0.02744469,0.184
-0.44894014,-0.672
-0.00994584,0.367
-0.03912642,-0.208
-0.31847379,-0.159
-0.05188487,0.163
0.1357855,-0.66
0.36588653,-0.541
0.19810317,-0.282
-0.40233663,-0.483
-0.17018761,-0.093
-0.09318719,-0.785
-0.14595472,0.82
-0.24009016,1.193
0.44489308,-0.288
-0.12746569,-0.804
-0.02956204,-0.312
-0.85696849,-0.455
-0.18042737,0.239
-0.29245332,-1.103
0.06682505,0.126
0.19941552,0.503
-0.42385456,-0.396
0.2889204,-0.438
0.04109428,0.806
0.32588472,-0.408
0.35903037,-0.318
0.17057148,0.849
0.05460654,-0.706
0.57623165,-0.384
-0.2673121,-0.452
-0.08544981,0.126
0.20102606,0.54
-0.16708594,-0.17
-0.05087304,-0.443
0.43501692,0.452
0.09700577,-0.227
0.15169384,0.348
0.0059145,0.121
-0.13746983,-0.208
0.06954231,-0.021
0.07638596,1.107
0.20260053,0.163
0.18259584,0.449
0.26704232,-0.48
0.46198132,0.65
0.08419284,0.68
-0.00884933,0.586
-0.04053677,-0.402
-0.42725991,0.873
-0.2206627,-0.353
0.25508464,-0.752
0.34864634,-0.588
0.02514734,-0.485
0.04718374,-0.927
-0.0238681,-0.208
0.14617074,0.297
0.09303727,0.248
-0.05552882,-0.208
0.27024017,-0.629
-0.06584933,-0.299
0.09797249,0.114
0.15236056,-0.359
-0.08023616,0.591
0.27532029,1.003
-0.01141938,0.299
0.14536912,-0.534
0.13253687,0.558
-0.36524002,-0.354
-0.26522091,-1.088
0.51243437,-0.866
0.20164933,0.587
-0.07422086,-0.454
0.01765048,-0.417
-0.15011316,1.1
0.5377075,0.274
0.73376285,0.5
0.24024746,-0.609
0.03379896,1.38
-0.31259848,0.047
-0.04736659,0.333
-0.18460233,-0.51
-0.26953611,-0.277
-0.0651729,0.862
0.60574474,0.869
-0.20764226,0.193
0.24661901,-0.208
-0.04583504,0.426
-0.1575128,0.619
0.01673125,0.63
0.26399663,-1.133
0.07472289,-0.599
-0.23024524,-0.554
-0.29604237,-0.361
0.15641488,-0.32
0.39705762,-0.614
-0.368189,-0.321
0.17652449,-0.688
0.01195274,0.052
0.0861532,0.814
-0.13344242,-0.083
0.13786259,0.549
0.03451453,-0.184
0.44445694,0.135
0.22913943,0.929
-0.5829132,1.143
0.02577234,-0.267
-0.10332266,0.432
-0.12681922,-0.808
-0.26555939,-0.152
0.19299438,1.057
-0.08839205,0.066
0.32285675,0.674
-0.08868801,0.646
0.15102296,-0.259
-0.30323942,0.471
-0.33590928,-0.756
0.53989922,0.367
-0.03813896,-0.294
0.7158992,1.135
0.0735791,-0.249
0.13058832,-0.208
-0.44487437,-0.77
-0.13622322,0.288
-0.12288908,-0.406
-0.26267974,0.02
0.34174339,0.183
-0.24694912,-0.418
-0.30398546,-0.208
-0.05158724,1.287
-0.30531754,-0.147
-0.32183489,-0.067
0.59931368,-0.038
0.10058746,0.611
-0.3790271,-0.369
-0.01738577,-0.389
-0.25607984,-0.215
0.38460402,-0.393
-0.35249765,-0.208
-0.47549489,-0.208
0.12297574,0.511
0.00026931,-0.189
-0.36472338,0.35
-0.37539051,-0.48
-0.52146038,-0.004
-0.14994921,0.241
0.0778459,-0.247
-0.10021403,0.599
0.37184264,0.695
-0.15709118,-0.791
-0.07852612,1.139
-0.14040184,-0.208
-0.04631135,0.108
-0.46849178,0.546
0.3894929,1.523
-0.191084,-0.482
-0.08653195,-0.451
-0.1495112,0.113
-0.29004243,-0.208
-0.07308293,0.041
-0.25874534,-0.117
-0.13742194,0.246
-0.34560372,-0.486
0.36779408,0.235
0.15724763,-0.505
0.4904998,-0.14
0.00815619,-0.153
-0.28600117,-0.483
0.14223993,0.315
0.01363933,-0.43
-0.26180569,-0.839
0.26226259,0.929
0.07860052,0.223
0.02779391,-0.732
-0.27127454,-0.157
0.54447513,0.395
-0.18329784,-0.294
0.07550896,-0.686
-0.65445867,-0.208
0.10197255,0.022
0.35576314,-0.208
-0.29759714,0.458
-0.44486918,-0.084
0.07447032,-0.97
-0.20474543,-0.797
-0.12945041,-1.133
0.05636581,0.804
0.54413114,0.424
0.02179627,-0.208
0.18901844,0.414
0.16195988,-0.958
0.07604851,-0.312
-0.08748114,1.141
-0.0757074,0.979
0.14546383,-0.361
-0.20108594,-0.897
-0.59918639,-0.838
0.30478945,-0.54
-0.00919356,-0.557
-0.19290789,-1.236
0.67378747,-0.208
-0.28388063,-0.208
0.14842285,0.957
-0.1390664,-0.658
0.00233312,-0.03
-0.14826062,-0.505
0.04960853,-0.538
0.13692611,0.929
-0.2326544,-0.575
-0.27423393,0.035
0.28579308,1.066
0.44367182,-0.594
0.2679313,0.741
-0.03748572,-1.056
-0.09668174,0.19
0.11743235,0.679
0.04140495,0.585
-0.15546242,-0.835
-0.33740448,-0.789
0.20373194,0.973
-0.00358474,-0.619
-0.39965285,-0.147
0.45863096,0.208
-0.01565694,1.288
-0.08958878,-0.375
0.24855691,-0.208
-0.15068852,-0.628
-0.12441689,0.28
0.57741779,-0.625
0.19523566,-0.208
0.03349936,-0.208
-0.3702114,-0.208
-0.33836592,0.239
0.42362724,-1.107
0.05275929,1.827
-0.03830763,0.828
0.18272225,-0.208
0.35848744,-0.338
0.3570838,1.292
0.67836724,0.927
0.12209831,0.812
-0.2051535,-0.356
0.19372208,0.394
-0.31040851,-0.111
0.10278865,-0.908
-0.10214953,-0.208
-0.26594084,-0.258
-0.08902229,0.602
-0.17541024,-0.208
0.26366976,1.231
0.18315864,0.745
-0.11791076,1.142
-0.07747868,-0.208
0.20320546,-0.359
-0.09791738,-0.1
-0.05773746,1.707
0.08773229,0.576
0.24373297,-0.018
-0.25238606,-0.439
-0.06657504,-0.344
0.2354341,0.163
0.08923333,0.079
-0.21992695,-0.61
0.1341709,0.031
-0.18781175,-0.77
0.20564569,-0.043
0.00436063,-0.298
-0.70637171,-0.556
0.41531767,-0.926
0.4354352,-0.208
0.18989657,-0.417
