prediction,true
0.41897447,-0.231
0.45815072,0.581
-0.23786048,0.036
0.36568226,-1.253
-0.74682455,-0.481
0.26012266,-0.226
-0.16190167,-0.69
-0.08339591,-0.822
0.2034259,-0.91
-0.1993181,-0.486
0.41126875,-0.561
-0.28489661,1.062
0.03953207,1.007
0.28183273,-0.292
-0.0837292,2.814
0.1153788,-0.11
-0.18062564,1.66
-0.22644377,-1.253
0.29212111,0.916
-0.07570746,0.335
0.11235625,-1.148
-0.13224155,0.176
-0.33925985,-0.779
0.26682637,0.735
-0.43338363,-0.283
0.00954746,-0.47
-0.09248167,-0.122
0.44439253,-0.211
0.05012902,0.677
-0.15102575,1.175
-0.63592514,-0.427
-0.16987318,-0.089
-0.04435489,-0.896
-0.33866522,0.113
-0.01238009,-0.664
-0.2262789,0.724
0.13812121,-0.257
0.17288452,0.376
-0.52152334,-1.253
0.31917601,-0.703
-0.43784091,-0.22
0.1502977,0.005
-0.30685549,-1.253
0.45493167,-0.197
0.17880525,1.617
-0.3962281,-1.105
-0.08084836,2.709
0.32876157,0.144
-0.12267581,-1.036
-0.30818896,-0.493
0.61637576,-0.34
-0.32390357,-1.148
-0.39714134,0.195
1.17382583,1.108
0.40613607,0.092
-0.66935241,-1.253
-0.42661722,-0.065
-0.41425681,0.053
0.12627904,-0.316
-0.33866915,0.067
-0.14480153,-0.893
-0.22354926,-0.622
0.05958422,1.117
-0.0223321,-1.053
0.49556822,-0.822
-0.61911812,-0.324
0.67665238,0.271
0.27504342,-0.527
-0.11493841,-1.253
-0.38713054,-0.893
-0.08377952,-0.36
0.19065188,0.726
-0.25112816,-0.694
-0.02577589,0.199
0.1275348,-0.049
-0.20816193,-0.455
-0.13719314,0.365
0.30328584,0.915
-0.10699822,0.324
0.21793228,-0.041
-0.26385143,-0.96
0.00057037,-0.752
-0.19999163,0.301
0.01040253,-1.253
-1.02410109,0.842
-0.356092,0.973
-0.24940543,1.181
0.66829884,0.469
-0.02811917,-0.951
0.27403494,0.756
-0.00522886,-1.143
-0.2102382,-0.57
-0.00378937,-0.394
-0.35139287,0.414
0.47867302,-0.936
-0.43221407,0.738
0.52670954,-0.109
0.2849355,0.349
0.32558991,-0.96
-0.07596513,-0.65
-0.27965444,-0.907
0.24822318,-0.132
0.57857105,0.302
-0.45407315,0.556
-0.2591774,-0.735
-0.08579138,-0.086
0.11386983,0.108
0.07993525,-1.137
0.34349212,0.151
0.55605352,-0.123
0.099131,-0.387
0.31283184,1.103
-0.47490896,-1.253
-0.18316024,-0.046
-0.21631186,-0.104
0.2368708,-1.253
0.31864084,1.287
0.38275384,1.091
0.10956317,-0.596
-0.17948609,0.623
-0.01063209,0.14
-0.34499443,-0.522
-0.04990096,0.001
0.13854964,0.492
0.92735353,-0.345
-0.10454239,1.013
0.42383302,-1.253
0.59908085,0.451
-0.33093435,-0.874
-0.35798376,0.552
0.13187365,-1.148
0.05238683,-0.714
0.49280301,-1.253
-0.3980223,-0.383
-0.42364815,-0.742
-0.19225305,0.069
-0.44954605,-1.253
-0.18452808,-1.253
-0.05071797,-0.215
-0.56611315,-0.274
-0.19039512,0.717
-0.09818469,1.781
-0.08001214,-0.38
0.23586113,-0.951
-0.20485117,-1.148
0.07594412,0.032
0.17936492,-0.896
-0.62216401,-0.443
-0.49476715,0.169
-0.24144761,0.55
-0.18086586,-0.785
0.14546682,1.729
0.13222322,-1.253
0.22020627,-0.847
0.66632683,0.446
-0.20859845,0.211
-0.07616513,-0.401
0.05020828,-1.253
0.19522964,-0.874
-0.16695614,0.461
-0.0779578,-0.45
-0.15212345,0.121
-0.35164754,0.902
-0.2960535,0.131
0.22626852,-0.425
-0.25759391,0.272
0.19975091,-1.253
-0.34553204,0.307
-0.13502401,0.08
0.49477707,0.09
-0.05665639,-0.27
-0.33223631,0.805
-0.00860796,0.225
-0.10004581,0.318
-0.13221739,0.931
-0.41820174,-0.708
-0.05690885,0.465
0.22095212,1.041
-0.60292057,-0.445
0.47118486,-0.442
0.54268762,0.773
-0.75589776,-1.253
-0.37691601,0.715
-0.03309893,-0.421
0.02344199,-0.122
0.18472791,0.497
-0.03318261,1.333
-0.30440967,-0.027
-0.32996509,-0.114
0.0050645,1.135
0.40705878,-1.253
0.13570771,-0.258
