prediction,true
0.3017032,0.558
0.45859809,-0.184
-0.24778642,-0.51
-0.06357882,-0.473
0.40815767,0.441
0.58614775,-0.473
-0.23336824,1.116
0.06614945,-0.207
0.16521006,0.45
0.28310884,0.562
0.04116327,0.126
-0.33734058,0.698
-0.37249436,-0.071
0.50984184,0.949
-0.04880159,-0.786
-0.16006409,-0.426
-0.00396865,-0.844
-0.2202183,-0.532
0.29988659,1.849
-0.11149769,0.123
0.34882168,-0.473
0.07229962,0.632
0.10057304,-0.619
0.09201649,0.873
-0.23456816,0.566
-0.09943562,0.201
0.3798075,0.402
0.03917881,-0.121
0.32203536,0.14
0.36908155,-1.058
-0.0278217,1.073
-0.35936959,-0.704
0.36831141,0.969
0.04118749,0.107
1.08945487,0.275
0.14493601,-0.864
0.04447405,-0.286
-0.0320366,0.112
-0.4160677,-0.182
0.48791055,0.694
0.09812155,1.103
0.21891069,-0.369
-0.18674662,-0.139
0.24255593,0.027
-0.08409402,-0.718
0.31920518,0.768
-0.01218871,-1.322
0.52866199,-0.435
-0.11962013,-0.657
0.42361766,0.904
0.1008529,-0.777
0.26722232,-0.413
-0.06858788,-0.655
-0.19634576,-0.76
0.19058059,-0.353
0.01109955,0.085
-0.01331414,-0.473
0.15731314,0.296
-0.15773505,0.214
-0.0331753,-0.619
0.10489162,-0.796
0.00393669,0.866
-0.35308742,0.175
-0.44288668,0.421
-0.14837333,1.479
-0.2209285,0.33
0.37312423,1.206
-0.0943529,-0.582
0.09837266,-0.316
-0.34443923,-0.233
0.08106802,0.272
-0.14259374,1.034
0.06804198,-0.473
0.07687968,-1.038
-0.04533945,0.104
0.59571254,-0.473
-0.02866457,0.184
0.32419817,-0.038
0.01394245,-0.136
0.03296141,-0.586
0.07488151,0.304
0.25002302,-0.403
0.3060223,1.035
0.28356348,0.163
-0.20288233,0.336
0.36966387,0.338
0.22807853,1.834
0.11294654,-0.379
0.14066792,-0.215
-0.10754666,-0.173
0.14924848,0.59
0.21839034,0.259
0.01647847,-0.232
-0.22658139,-0.409
0.09140779,1.411
0.19830795,0.224
0.47870016,-0.357
-0.09127171,-0.277
0.36196748,0.24
-0.05441967,0.803
-0.13549283,-0.083
-0.25493939,-0.77
-0.35773056,1.582
-0.17529766,-0.473
0.2573261,0.431
-0.23090974,-0.693
0.17423921,0.397
-0.01024193,0.493
0.01813852,-0.772
0.10114576,0.636
-0.05445509,-0.587
0.04780722,0.119
-0.13969168,-0.273
0.36311339,0.001
-0.14273174,0.024
-0.05452988,-0.494
-0.15312752,1.177
-0.13032241,0.517
0.15751102,-0.565
0.07650424,0.38
-0.22588167,0.191
-0.24057863,1.151
0.19558492,-0.602
0.22723787,-0.814
-0.03535083,-0.168
0.17642681,0.687
0.21852125,0.558
0.09927182,-0.483
-0.25868745,-0.684
-0.16266944,-0.878
-0.13118715,-1.17
-0.01264374,0.761
0.06759441,0.317
0.18987046,-0.283
0.29665078,-0.359
-0.20265023,0.413
-0.27621352,0.406
-0.38997744,0.075
0.09572416,-0.473
-0.13649355,-0.353
-0.1954469,0.526
0.14407783,-0.861
0.53638237,1.182
0.14128565,-0.273
0.36705019,0.148
0.4989939,-0.473
