prediction,true
-0.38216533,0.867
0.2078567,1.819
-0.01469904,0.458
0.0470334,0.215
-0.38107288,-1.148
-0.23270356,0.998
0.56831811,0.581
-0.14240114,0.07
-0.3347706,0.022
0.13470228,0.195
-0.15316777,1.854
-0.10705823,2.64
-0.45919154,1.507
-0.58577152,-0.039
-0.24418077,-0.269
-0.09423741,1.558
-0.03911333,-0.176
-0.06443941,0.526
-0.28350553,-0.758
0.27292795,-0.563
0.50261844,1.18
0.42263592,0.241
-0.99973546,-1.253
-0.10490387,-0.756
-0.01692163,0.17
0.50751132,0.287
-0.26921183,-0.119
-0.33975732,0.343
-0.44131841,-0.444
-0.44664114,-1.253
-0.5945719,-0.802
-0.26890869,0.093
0.04615147,0.243
0.24129002,-0.22
-0.26277996,1.131
-0.12304693,-0.639
0.0933483,-0.079
-0.5138704,0.547
-0.21238711,-0.772
-0.20921321,-0.951
0.04252391,-0.238
0.20658939,-0.576
0.04716494,-0.167
-0.91312041,0.686
0.27709892,-0.28
-0.14972147,-0.673
-0.09591423,-0.034
-0.43124239,-0.538
-0.03741106,-0.714
-0.21481037,0.792
0.23037936,-0.308
-0.17621401,-0.78
-0.30928674,0.205
0.11819622,0.756
0.00310649,0.528
-0.26584519,0.073
-0.16490018,0.742
0.2604455,-0.637
0.01261452,-0.641
-0.03079678,-0.205
-0.61241665,0.011
0.51455685,0.43
0.20416457,0.549
-0.0214264,-0.621
0.49625004,-1.143
-0.0734639,0.067
0.16246119,-0.356
-0.14787758,0.352
-0.19268239,0.415
-0.1897588,-0.299
-0.04994093,0.44
-0.26725275,-0.109
-0.08518814,0.327
-0.01957929,1.021
0.26064317,-0.067
-0.01691152,1.854
-0.06276352,0.211
0.14913855,0.53
0.34121577,-1.137
0.10213287,1.978
0.41349943,-0.519
0.27393769,0.58
-0.16022362,-1.253
-0.32170333,-0.892
0.36609046,-0.96
-0.4856554,-1.253
-0.27832429,0.042
0.55489218,0.073
0.10873662,0.58
0.13615374,-0.144
0.64713497,0.54
-0.17370306,-1.143
-0.37416164,-1.253
0.22166121,-1.253
0.49928542,-0.581
0.24656809,1.484
0.16952247,-0.531
0.22041053,-0.94
0.36281255,0.474
0.01396993,-1.253
0.37646401,-0.432
-0.06025181,-0.813
0.10367536,1.019
0.05173172,0.494
-0.05342614,-0.444
-0.78473243,-1.253
0.16523354,-1.253
-0.35111598,-0.693
-0.74008897,-0.655
0.15273224,0.867
-0.1608011,0.839
-0.456364,-0.541
0.26295869,-0.506
-0.51702566,0.583
-0.29324101,-0.467
0.49157371,-0.099
0.41262184,-0.206
-0.61501659,0.515
0.37355505,2.039
0.46764291,1.534
0.22075746,0.269
0.0855961,-0.907
0.2565506,-0.284
-0.11844005,-0.815
-0.05083298,1.768
-0.40909524,-0.543
0.32534624,1.106
0.37001741,-0.533
0.11391183,-0.777
0.04289216,-0.258
0.43017865,-0.242
0.12046927,0.283
-0.38555659,0.045
0.02879909,-0.696
0.28868025,0.655
-0.25951772,0.542
0.68262546,1.321
-0.10094975,0.062
0.23592344,0.476
0.60009375,0.608
0.50743962,0.476
-0.0883081,-0.511
0.06675214,0.097
-0.34975122,-1.253
-0.02772949,0.389
0.17058156,-0.413
-0.23733206,0.772
-0.12776683,-0.298
-0.35967335,-0.342
0.00531615,1.294
0.1681889,0.049
0.07422908,-0.369
-0.05032825,0.013
-0.18451599,-0.943
0.30355841,-1.253
-0.07703861,-1.105
0.37888554,-0.739
-0.17588104,-0.005
0.0998333,1.425
-0.64045777,0.609
0.17893216,0.438
0.21785097,1.026
0.17229669,-0.222
-0.35058989,-0.965
0.10151511,-1.253
0.3955198,0.112
0.07848121,-0.702
-0.47127459,-0.803
0.15531206,-0.054
-0.43025409,-0.51
0.165299,1.312
-0.47655577,-1.253
-0.19103078,0.412
0.18861436,-0.483
0.24093607,-0.674
-0.36854348,1.214
1.08613578,0.348
-0.1932126,0.006
0.62967504,-0.34
-0.30322846,-0.432
0.06932773,-0.786
0.23110161,-0.547
0.21663592,-0.271
-0.46831649,0.696
-0.06578119,-0.627
0.50390924,0.634
-0.35278286,-0.985
