Alpha,ROI10,ROI17
0.027726924,0.459155887,1.955049515
0.024855717,0.57573843,2.915202379
0.02837721,-1.238697648,-2.097259521
0.02928472,-0.840350747,-0.041133508
0.02234564,-0.668065071,0.231473237
0.021943091,-0.294414908,0.171076849
0.025968594,-0.882164598,-2.911611319
0.025455018,-1.615749717,-0.785685599
0.025149945,0.833905399,0.987678349
0.024354348,-0.177508205,-2.629733324
0.026812273,-1.161688566,0.505514205
0.019547619,-0.276361167,0.537901998
0.028029051,-0.714887977,1.163448811
0.012147381,0.940487266,3.719524384
0.025819066,4.221576691,5.316972256
0.02004688,2.332830191,1.526532054
0.021057718,0.104904652,-3.637523651
0.027391732,0.393299907,-2.433269501
0.027805907,-2.512742519,-2.549860477
0.029998244,0.530465424,0.504633904
0.022201058,-0.511273146,-0.526026487
0.022309353,-0.914031029,2.053421497
0.027409676,0.282799095,-4.277714729
0.022319742,-2.615964413,-5.351748943
0.017408062,0.209883213,4.391236305
0.025377968,2.09601903,4.270805836
0.031277412,1.049003839,-2.844242811
0.026710525,-0.119291268,1.516493797
0.028071356,0.812794089,-3.193934679
0.018539407,2.92262435,0.511220992
0.019631917,0.240149945,0.098410182
0.027507147,-1.751032472,-3.251986504
0.027639505,-0.151692793,0.150192216
0.011359388,0.600716472,0.692288578
0.02719381,0.796003401,-2.138145685
0.027104407,0.097840607,-0.483445525
0.022295649,-2.409881115,-2.214143515
0.030898046,-0.143216521,-1.396754146
0.028851063,0.546687126,0.670556247
0.028186263,2.055581093,0.504531205
0.027347394,0.503279388,-0.153844178
0.02206797,-0.086730666,0.573141515
0.026891637,-0.913446605,-4.153351784
0.0222434,0.276800215,-2.104397058
0.028216297,-2.561717987,-0.541417956
0.023162234,2.089194536,-0.815608263
0.024654152,-0.973484039,-0.53549546
0.01736012,-0.416475147,2.410261154
0.02648699,-1.798099875,-5.063859463
0.026292598,0.650141895,0.28281641
0.020062209,-1.885195732,-4.37113905
0.024744262,-0.580770373,1.931278348
0.02199226,-4.236798763,-2.635371208
0.022217502,-2.729986191,0.554314494
0.023538658,-1.360336661,-0.035193942
0.024902913,-0.540209353,-5.739068031
0.027931955,-0.765112936,-1.100121856
0.026184381,1.055806279,0.960876465
0.029107285,-1.39855814,-2.263129473
0.030314077,-1.876065016,-2.193036556
0.027437038,0.609786034,-0.419585764
