prediction,true
-0.27313469,0.121
-0.03192285,-0.532
-0.25026469,0.348
-0.55901876,0.225
-0.04346326,-1.253
-0.05375265,-0.275
0.11210258,-0.353
-0.11534773,-0.371
0.35837953,-1.253
0.42538514,0.211
-0.05449997,-0.312
0.22751418,1.353
-0.19713075,0.695
0.08283912,0.818
-0.09528345,-1.148
-0.46647412,-0.159
0.3742447,-0.951
-0.25467513,-0.587
0.07604506,0.287
-0.23572833,-0.389
0.03834034,-0.767
0.44918309,0.117
0.11749506,1.262
0.01544772,-0.392
-0.01817964,0.188
0.13603144,-1.253
-0.02197951,-0.803
-0.11428191,-0.702
-0.1680046,-1.086
-0.26558413,-0.513
0.05472517,0.646
-0.01548277,0.84
-0.10240597,-0.012
0.44956865,0.342
0.36786423,-0.052
0.10186874,0.33
-0.56896173,-0.522
0.71329851,0.204
-0.38031278,-0.91
0.05546225,0.701
0.03797922,0.124
0.16063184,-0.257
0.29378531,-0.562
0.28514853,-0.794
-0.07121146,0.976
0.06291165,-0.446
-0.17830615,1.048
0.78475366,-0.981
-0.00173518,0.924
0.57938128,0.756
-0.18435398,-1.253
-0.10378186,-0.574
-0.89414671,0.125
0.12274605,-0.332
-0.42391121,0.474
-0.18776737,-0.549
-0.30831786,-0.292
0.19454138,-1.137
-0.22793035,0.77
0.39547079,1.878
-0.26117976,-1.253
0.44614516,-0.903
0.04315206,1.281
-0.05008078,2.172
-0.06709698,-0.095
0.17899727,0.459
-0.03126301,-0.405
0.40311448,-0.803
0.57756193,-0.012
-0.33571783,-0.379
0.138895,-0.799
-0.46938124,0.972
-0.53986295,-0.135
0.29376041,-0.266
0.15520316,0.654
-0.33555747,0.143
0.1407277,0.094
0.46886832,1.011
-0.16185353,1.779
-0.00742901,-0.588
-0.19571878,1.482
-0.15059036,0.92
0.02982135,-0.669
-0.05023386,-0.217
-0.27123021,0.308
0.01766029,-0.512
0.01031532,-0.227
-0.00028047,-1.253
0.08345093,1.495
-0.02359595,1.907
-0.40542602,-1.148
-0.4910595,-0.94
-0.20729288,-0.669
0.12388548,1.55
0.04558019,-0.319
0.2403675,0.689
-0.2683448,0.189
0.25125459,0.074
0.06536792,-0.668
-0.1472654,1.044
0.25710696,0.262
-0.19414576,0.07
-0.13742762,-0.351
-0.17846789,0.493
-0.46141953,-0.47
-0.41322266,-0.599
