Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr,AB_P
STPG1,-0.3058817365195593,1.0039479552701902e-06,0.0018659209144897,True,0.3058817365195593,0.0
DLG2,0.300601040863878,1.5688608581324088e-06,0.0018659209144897,True,0.300601040863878,0.002
RANBP17,-0.3003777539311008,1.598447385342442e-06,0.0018659209144897,True,0.3003777539311008,0.002
ST6GALNAC6,0.2943159570557041,2.6387586199000445e-06,0.0023102331717224,True,0.2943159570557041,0.0
INA,-0.2856396072327876,5.3020392075650445e-06,0.0024270055021075,True,0.2856396072327876,0.002
PLB1,0.2828303835478464,6.613458955839119e-06,0.0024270055021075,True,0.2828303835478464,0.0005
SLC38A1,-0.2826425645755103,6.711338484104408e-06,0.0024270055021075,True,0.2826425645755103,0.0005
TBC1D19,-0.2812032908626086,7.508447548275894e-06,0.0024270055021075,True,0.2812032908626086,0.0015
DCBLD2,-0.2803980069425925,7.99287550847049e-06,0.0024270055021075,True,0.2803980069425925,0.001
MOGAT1,-0.2797998881551531,8.371744191792757e-06,0.0024270055021075,True,0.2797998881551531,0.0005
MAN1A1,0.2794544785858568,8.598244577039673e-06,0.0024270055021075,True,0.2794544785858568,0.0025
USP13,-0.2792440890932401,8.73904579487556e-06,0.0024270055021075,True,0.2792440890932401,0.001
GPAT3,-0.2782413131207675,9.440768832125591e-06,0.0024270055021075,True,0.2782413131207675,0.0015
SLC25A23,0.2770390298708135,1.0352668198367728e-05,0.0024270055021075,True,0.2770390298708135,0.0125
CELF3,0.2757916055802981,1.1386831918042473e-05,0.0024270055021075,True,0.2757916055802981,0.0045
BCRP2,0.2753148033393676,1.180742526335776e-05,0.0024270055021075,True,0.2753148033393676,0.0105
SLC17A6,-0.275142300077222,1.1963190862612282e-05,0.0024270055021075,True,0.275142300077222,0.0235
C1orf194,0.2745905314653591,1.2474614231278056e-05,0.0024270055021075,True,0.2745905314653591,0.002
SH3RF1,0.2733652746501193,1.3685402742639126e-05,0.0025224358107748,True,0.2733652746501193,0.0025
MCF2,-0.2718175818308691,1.5374435584390238e-05,0.0026920636708267,True,0.2718175818308691,0.0015
PIM1,-0.2706052224557898,1.6833545568002582e-05,0.0028071941228164,True,0.2706052224557898,0.0015
BTBD11,-0.2673836837307203,2.137451933881852e-05,0.0033496141810135,True,0.2673836837307203,0.0095
BCR,0.2669923270308525,2.19991793727332e-05,0.0033496141810135,True,0.2669923270308525,0.008
SLC16A2,0.2656586511092643,2.4260113386084245e-05,0.0034772410024016,True,0.2656586511092643,0.0005
ST8SIA1,-0.2647368871827994,2.594928310671873e-05,0.0034772410024016,True,0.2647368871827994,0.001
DEAF1,0.2642467844567035,2.6892091039139216e-05,0.0034772410024016,True,0.2642467844567035,0.0
SHD,-0.2638546216668258,2.7669711691537756e-05,0.0034772410024016,True,0.2638546216668258,0.0015
