Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr
STPG1,-0.30588173651955936,1.0039479552701902e-06,0.0018659209144897442,True,0.30588173651955936
DLG2,0.300601040863878,1.5688608581324088e-06,0.0018659209144897442,True,0.300601040863878
RANBP17,-0.3003777539311008,1.5984473853424421e-06,0.0018659209144897442,True,0.3003777539311008
ST6GALNAC6,0.2943159570557041,2.6387586199000445e-06,0.0023102331717224887,True,0.2943159570557041
INA,-0.2856396072327876,5.3020392075650445e-06,0.0024270055021075416,True,0.2856396072327876
PLB1,0.28283038354784645,6.613458955839119e-06,0.0024270055021075416,True,0.28283038354784645
SLC38A1,-0.28264256457551035,6.711338484104408e-06,0.0024270055021075416,True,0.28264256457551035
TBC1D19,-0.28120329086260865,7.508447548275894e-06,0.0024270055021075416,True,0.28120329086260865
DCBLD2,-0.28039800694259254,7.99287550847049e-06,0.0024270055021075416,True,0.28039800694259254
MOGAT1,-0.2797998881551531,8.371744191792757e-06,0.0024270055021075416,True,0.2797998881551531
MAN1A1,0.27945447858585687,8.598244577039673e-06,0.0024270055021075416,True,0.27945447858585687
USP13,-0.2792440890932401,8.73904579487556e-06,0.0024270055021075416,True,0.2792440890932401
GPAT3,-0.27824131312076755,9.440768832125591e-06,0.0024270055021075416,True,0.27824131312076755
SLC25A23,0.2770390298708135,1.0352668198367728e-05,0.0024270055021075416,True,0.2770390298708135
CELF3,0.2757916055802981,1.1386831918042473e-05,0.0024270055021075416,True,0.2757916055802981
BCRP2,0.27531480333936764,1.180742526335776e-05,0.0024270055021075416,True,0.27531480333936764
SLC17A6,-0.275142300077222,1.1963190862612282e-05,0.0024270055021075416,True,0.275142300077222
C1orf194,0.2745905314653591,1.2474614231278056e-05,0.0024270055021075416,True,0.2745905314653591
SH3RF1,0.27336527465011934,1.3685402742639126e-05,0.0025224358107748535,True,0.27336527465011934
MCF2,-0.2718175818308691,1.5374435584390238e-05,0.0026920636708267307,True,0.2718175818308691
PIM1,-0.2706052224557898,1.6833545568002582e-05,0.0028071941228164305,True,0.2706052224557898
BTBD11,-0.2673836837307203,2.137451933881852e-05,0.0033496141810135504,True,0.2673836837307203
BCR,0.26699232703085257,2.19991793727332e-05,0.0033496141810135504,True,0.26699232703085257
SLC16A2,0.2656586511092643,2.4260113386084245e-05,0.0034772410024016816,True,0.2656586511092643
ST8SIA1,-0.2647368871827994,2.5949283106718734e-05,0.0034772410024016816,True,0.2647368871827994
DEAF1,0.2642467844567035,2.6892091039139216e-05,0.0034772410024016816,True,0.2642467844567035
SHD,-0.2638546216668258,2.7669711691537753e-05,0.0034772410024016816,True,0.2638546216668258
FKBP1B,0.2637889253310086,2.7802041138562845e-05,0.0034772410024016816,True,0.2637889253310086
HERPUD1,-0.26224727818683363,3.108448352553639e-05,0.0036123399042930536,True,0.26224727818683363
JPH3,0.2622194680814877,3.114692758105522e-05,0.0036123399042930536,True,0.2622194680814877
NRG1,-0.26172735013036674,3.227170362968676e-05,0.0036123399042930536,True,0.26172735013036674
LARGE1,0.2610478162519147,3.388800003048897e-05,0.0036123399042930536,True,0.2610478162519147
RSRC1,-0.2607777760985559,3.4551274048247266e-05,0.0036123399042930536,True,0.2607777760985559
PLCB4,-0.2604480852844553,3.537767713290295e-05,0.0036123399042930536,True,0.2604480852844553
UCHL3,0.26016474464593103,3.610276888927952e-05,0.0036123399042930536,True,0.26016474464593103
LAPTM4B,-0.2575465642933661,4.349948002202681e-05,0.004231532751031608,True,0.2575465642933661
CCDC148,0.25683236854448294,4.575257132117337e-05,0.004330419047749977,True,0.25683236854448294
ARHGAP4,0.2559158442030832,4.8805296701204707e-05,0.00449779339598997,True,0.2559158442030832
RET,-0.25540357400171154,5.059413226616997e-05,0.004543093620413519,True,0.25540357400171154
ERMP1,-0.25327267506020745,5.871922509062526e-05,0.005082861692599027,True,0.25327267506020745
TNIK,0.25308082563782125,5.950808949073675e-05,0.005082861692599027,True,0.25308082563782125
ZNF630,-0.25216631652144655,6.340746702170868e-05,0.005112173924086572,True,0.25216631652144655
ANKRD19P,0.2517007995406565,6.548351265323267e-05,0.005112173924086572,True,0.2517007995406565
TGM1,-0.251596410884358,6.595774496222176e-05,0.005112173924086572,True,0.251596410884358
HEXIM1,-0.2514581664476386,6.659075509002002e-05,0.005112173924086572,True,0.2514581664476386
MAP2K3,-0.2512018298244502,6.777964643691065e-05,0.005112173924086572,True,0.2512018298244502
MMD,0.25102529611225455,6.860998698802653e-05,0.005112173924086572,True,0.25102529611225455
MAP1LC3B,-0.2504114585696196,7.157228057884356e-05,0.005122321192941767,True,0.2504114585696196
FOXP2,-0.25039130631936896,7.167154153459353e-05,0.005122321192941767,True,0.25039130631936896
LRRC56,0.24995682380396483,7.384334061588022e-05,0.00517198757673625,True,0.24995682380396483
THAP10,-0.24916363123409913,7.796858769614104e-05,0.005327317476987752,True,0.24916363123409913
EIF5A2,-0.24873841875381036,8.02682400810539e-05,0.005327317476987752,True,0.24873841875381036
SLC38A2,-0.24867352850800323,8.062473623082548e-05,0.005327317476987752,True,0.24867352850800323
ADGRV1,0.24781826700736548,8.546456240432233e-05,0.005542535139628459,True,0.24781826700736548
